object,count
poster,56
book,50
building,22
traffic sign,21
clothing,18
woman,17
person,14
scoreboard,14
billboard,14
television,11
computer monitor,11
man,11
car,7
whiteboard,6
wheel,5
plant,5
house,4
skyscraper,4
mobile phone,3
land vehicle,3
human face,3
boy,3
truck,3
girl,3
tire,2
tower,2
sunglasses,2
door,2
auto part,2
window,2
snack,2
table,1
toy,1
street light,1
watch,1
wine,1
stairs,1
airplane,1
sculpture,1
sandwich,1
beer,1
bottle,1
box,1
cassette deck,1
christmas tree,1
computer keyboard,1
corded phone,1
fish,1
guitar,1
handbag,1
headphones,1
human body,1
mammal,1
picture frame,1
remote control,1
medical equipment,1
