object,count
building,195
poster,98
man,47
house,45
person,27
book,24
clothing,20
woman,20
skyscraper,18
billboard,14
plant,11
suit,11
land vehicle,9
whiteboard,9
guitar,9
car,8
girl,7
human body,6
traffic sign,5
sports uniform,5
bus,5
boy,5
mammal,4
shelf,4
door,3
bookcase,3
tower,3
picture frame,3
window,3
tent,3
human hair,3
wine,2
bottle,2
mug,2
mobile phone,2
tin can,2
dinosaur,2
beer,2
jeans,2
truck,2
train,2
drink,2
food,2
vehicle,1
vegetable,1
van,1
tablet computer,1
toy,1
balloon,1
stairs,1
plate,1
office building,1
luggage and bags,1
golf ball,1
elephant,1
dress,1
convenience store,1
computer monitor,1
coin,1
coffee cup,1
chair,1
cart,1
box,1
boat,1
lamp,1
