object,count
poster,30
book,22
building,19
man,17
airplane,17
boat,13
person,11
clothing,9
bottle,8
car,7
drink,7
woman,7
billboard,4
vehicle registration plate,4
land vehicle,3
train,3
boy,3
vehicle,3
girl,3
furniture,2
helicopter,2
plant,2
snack,2
watercraft,2
shelf,1
shirt,1
suitcase,1
sculpture,1
saucer,1
tin can,1
toy,1
plastic bag,1
sun hat,1
aircraft,1
mug,1
computer monitor,1
baked goods,1
balloon,1
bookcase,1
bus,1
camera,1
coffee cup,1
door,1
miniskirt,1
drum,1
fashion accessory,1
flag,1
house,1
human face,1
jacket,1
home appliance,1
