object,count
poster,48
book,31
man,22
clothing,18
person,15
building,13
woman,8
whiteboard,4
mobile phone,4
land vehicle,4
mammal,4
car,3
furniture,3
billboard,3
boy,3
girl,3
house,3
shelf,3
window,3
toy,2
skyscraper,2
suit,2
table,2
office building,2
bottle,2
laptop,2
wheel,2
guitar,2
desk,2
fruit,2
convenience store,2
vehicle,1
tower,1
vehicle registration plate,1
tire,1
truck,1
tin can,1
watch,1
tent,1
baked goods,1
van,1
snack,1
waste container,1
sculpture,1
picture frame,1
beer,1
platter,1
computer keyboard,1
drink,1
drum,1
fashion accessory,1
flower,1
hat,1
helmet,1
hiking equipment,1
human body,1
jacket,1
auto part,1
bookcase,1
office supplies,1
bread,1
plant,1
plastic bag,1
plate,1
accordion,1
