object,count
poster,54
man,40
building,27
clothing,25
book,24
person,15
woman,14
car,13
billboard,9
human body,8
girl,8
mammal,7
bottle,7
table,6
plant,6
convenience store,5
house,5
sports uniform,5
mobile phone,4
boat,4
weapon,4
door,4
vehicle,4
suit,3
cannon,3
bus,3
truck,3
picture frame,3
tin can,2
snack,2
shelf,2
beer,2
platter,2
calculator,2
window,2
plate,2
land vehicle,2
knife,2
guitar,2
handgun,2
drink,2
human arm,2
boy,1
van,1
tent,1
food,1
tripod,1
fashion accessory,1
umbrella,1
vegetable,1
taxi,1
waste container,1
watch,1
curtain,1
computer monitor,1
wine,1
wine glass,1
telephone,1
glasses,1
tableware,1
tablet computer,1
bear,1
goggles,1
skyscraper,1
shotgun,1
shirt,1
rifle,1
bookcase,1
human face,1
human leg,1
jeans,1
box,1
office supplies,1
motorcycle,1
auto part,1
