object,count
poster,31
book,26
building,18
clothing,11
person,10
plant,8
man,7
woman,6
bottle,6
office supplies,4
beer,4
sewing machine,4
printer,3
fax,3
bookcase,2
laptop,2
land vehicle,2
picture frame,2
drink,2
skyscraper,2
house,2
shelf,2
van,1
wine,1
shirt,1
truck,1
sports uniform,1
tablet computer,1
window,1
television,1
tin can,1
tower,1
sports equipment,1
ambulance,1
mammal,1
human head,1
bicycle wheel,1
boy,1
cake,1
calculator,1
car,1
castle,1
cat,1
computer monitor,1
convenience store,1
door,1
girl,1
hat,1
human body,1
human face,1
human hair,1
human nose,1
