object,count
building,73
poster,34
person,24
clothing,23
man,22
book,20
house,17
bottle,14
plant,13
drink,9
billboard,8
boat,8
boy,8
mammal,6
land vehicle,6
girl,5
woman,5
milk,5
human body,4
truck,4
fish,3
lifejacket,3
convenience store,3
animal,2
toy,2
sports uniform,2
plate,2
picture frame,2
mirror,2
bus,2
seafood,2
sculpture,2
wall clock,2
helicopter,2
fast food,2
furniture,2
food,2
suitcase,1
snack,1
spice rack,1
window,1
street light,1
suit,1
baked goods,1
surfboard,1
train,1
swim cap,1
table,1
tablet computer,1
vehicle,1
tin can,1
tower,1
tent,1
countertop,1
scoreboard,1
sandwich,1
corded phone,1
fox,1
computer monitor,1
cello,1
human arm,1
carnivore,1
jacket,1
car,1
auto part,1
lobster,1
cake,1
box,1
otter,1
bookcase,1
bench,1
dairy,1
beer,1
platter,1
