object,count
book,56
poster,35
person,25
clothing,20
man,18
building,11
whiteboard,9
woman,8
shelf,8
envelope,7
convenience store,6
human body,6
car,6
toy,5
computer monitor,5
bookcase,5
girl,4
bottle,4
billboard,4
truck,4
guitar,3
mobile phone,3
laptop,3
plant,3
table,3
train,3
wine,3
picture frame,2
land vehicle,2
vehicle,2
auto part,2
airplane,2
human hair,2
camera,2
computer keyboard,2
desk,2
tire,1
bicycle,1
bicycle wheel,1
window,1
boy,1
wheel,1
weapon,1
vehicle registration plate,1
bus,1
van,1
curtain,1
tower,1
tin can,1
human face,1
teddy bear,1
sunglasses,1
suit,1
sports uniform,1
sports equipment,1
skyscraper,1
drink,1
scarf,1
flag,1
footwear,1
furniture,1
goggles,1
house,1
zebra,1
