object,count
poster,63
coin,46
man,28
clothing,18
building,16
plant,12
person,12
woman,11
book,8
sports uniform,7
billboard,6
ambulance,5
van,5
house,5
girl,5
mammal,5
truck,4
table,4
land vehicle,4
computer monitor,4
bus,4
vehicle registration plate,4
car,3
human body,3
spice rack,3
boat,2
whiteboard,2
television,2
airplane,2
box,2
mobile phone,2
desk,2
bicycle,2
office building,2
beer,1
toy,1
bottle,1
watercraft,1
waste container,1
wall clock,1
bird,1
traffic sign,1
tent,1
tin can,1
convenience store,1
human face,1
skyscraper,1
scoreboard,1
rabbit,1
auto part,1
barrel,1
picture frame,1
