object,count
building,577
house,171
poster,75
man,17
person,17
tower,16
skyscraper,15
billboard,15
woman,15
book,14
car,14
clothing,14
window,9
furniture,8
boat,4
door,4
toy,4
plant,4
traffic sign,3
girl,3
fountain,3
van,3
picture frame,3
mammal,3
sports uniform,2
pillow,2
bottle,2
palm tree,2
saucer,2
suitcase,2
table,2
human body,2
television,2
flag,2
drink,2
teapot,1
swimming pool,1
shirt,1
street light,1
train,1
vehicle,1
watercraft,1
wine,1
castle,1
parachute,1
sculpture,1
bus,1
christmas tree,1
coffee cup,1
dress,1
drum,1
flower,1
golf cart,1
guitar,1
cart,1
human leg,1
kettle,1
lamp,1
mobile phone,1
motorcycle,1
office supplies,1
cat,1
bed,1
