object,count
poster,122
book,98
building,28
man,24
bookcase,17
clothing,14
shelf,12
person,12
computer monitor,12
mobile phone,10
plant,8
woman,7
billboard,6
picture frame,6
laptop,6
land vehicle,5
house,5
office building,5
suit,3
tent,3
table,2
bottle,2
door,2
bus,2
tablet computer,2
television,2
mammal,2
airplane,2
vehicle,2
human face,2
human arm,2
girl,2
whiteboard,2
window,2
wine,2
shirt,1
traffic sign,1
tin can,1
wheel,1
sword,1
tire,1
desk,1
boat,1
sculpture,1
pumpkin,1
car,1
motorcycle,1
castle,1
convenience store,1
corded phone,1
human head,1
human hand,1
houseplant,1
food,1
flag,1
drink,1
boy,1
