object,count
poster,230
building,111
man,91
clothing,75
person,68
woman,59
television,49
billboard,40
book,38
computer monitor,26
girl,21
house,20
car,16
mammal,15
mobile phone,14
human body,9
bookcase,9
bottle,9
land vehicle,8
human face,8
shelf,8
drink,7
window,7
table,6
picture frame,6
laptop,6
van,5
convenience store,5
traffic sign,5
whiteboard,5
guitar,5
tablet computer,5
furniture,4
box,4
office building,4
fashion accessory,4
plant,4
footwear,4
boy,3
boat,3
bus,3
flag,3
drum,3
truck,3
remote control,3
camera,3
beer,3
wine,3
houseplant,3
vehicle registration plate,2
motorcycle,2
suit,2
personal care,2
umbrella,2
pumpkin,2
skyscraper,2
snack,2
stairs,2
human head,2
cosmetics,2
baked goods,2
auto part,2
balloon,2
human hair,2
door,2
candle,1
sunglasses,1
coat,1
chair,1
teapot,1
candy,1
tent,1
tin can,1
tower,1
cake,1
train,1
camel,1
street light,1
cabinetry,1
vehicle,1
bicycle wheel,1
watercraft,1
wheel,1
bicycle,1
wine glass,1
coin,1
kitchen appliance,1
corded phone,1
helmet,1
infant bed,1
human leg,1
medical equipment,1
human arm,1
mug,1
musical instrument,1
necklace,1
high heels,1
palm tree,1
handbag,1
ipod,1
goggles,1
glasses,1
plastic bag,1
fruit,1
dress,1
refrigerator,1
sculpture,1
dessert,1
deer,1
airplane,1
