object,count
poster,101
building,53
plant,38
man,23
book,22
person,21
billboard,20
traffic sign,19
woman,16
clothing,15
car,14
land vehicle,9
house,8
bicycle,7
door,7
boy,5
girl,5
office building,4
van,4
vehicle,4
human body,4
airplane,4
sports uniform,3
stop sign,3
whiteboard,3
computer monitor,3
mobile phone,3
bus,3
suit,2
television,2
tent,2
bottle,2
mammal,2
toy,2
auto part,2
train,2
beer,2
corded phone,2
window,2
bicycle wheel,1
bench,1
tire,1
tin can,1
watch,1
telephone,1
table,1
drink,1
boat,1
scoreboard,1
ring binder,1
fashion accessory,1
bookcase,1
picture frame,1
palm tree,1
box,1
laptop,1
camera,1
kitchen & dining room table,1
cello,1
home appliance,1
guitar,1
food,1
flower,1
kitchen appliance,1
