object,count
poster,37
man,21
clothing,18
building,14
book,13
person,12
woman,9
car,6
tablet computer,4
snack,4
tin can,3
billboard,3
girl,3
plant,3
bottle,3
computer monitor,3
cosmetics,3
drink,3
whiteboard,2
mobile phone,2
sports uniform,2
picture frame,2
land vehicle,2
skyscraper,2
spice rack,2
laptop,2
airplane,2
boy,2
bus,2
house,2
human face,1
tire,1
swimming pool,1
swimwear,1
table,1
bicycle,1
beer,1
train,1
boat,1
truck,1
umbrella,1
vase,1
watch,1
auto part,1
wine,1
suit,1
box,1
sports equipment,1
human hand,1
sculpture,1
scoreboard,1
scissors,1
cake,1
calculator,1
pizza,1
dessert,1
door,1
guitar,1
animal,1
houseplant,1
human body,1
mammal,1
