object,count
poster,34
man,30
book,21
building,17
clothing,16
woman,13
person,12
car,11
bottle,9
bookcase,5
girl,4
wine,4
vehicle,4
land vehicle,4
drink,3
computer monitor,3
house,3
shelf,3
mobile phone,3
mammal,3
convenience store,2
baked goods,2
truck,2
tablet computer,2
table,2
suit,2
shirt,2
boy,2
auto part,2
human body,2
human face,2
human arm,1
balloon,1
window,1
wheelchair,1
wheel,1
watercraft,1
vehicle registration plate,1
billboard,1
van,1
home appliance,1
tower,1
television,1
knife,1
cake,1
stairs,1
sports uniform,1
snack,1
skyscraper,1
human hair,1
human head,1
dagger,1
plant,1
jeans,1
pen,1
kitchen knife,1
box,1
