object,count
man,182
clothing,147
person,102
poster,89
woman,85
car,79
boy,27
book,26
sports uniform,23
building,23
girl,20
human body,17
scoreboard,15
land vehicle,14
whiteboard,12
truck,11
mammal,10
plant,9
boat,9
vehicle,9
jet ski,8
table,7
toy,7
van,7
convenience store,6
billboard,6
airplane,6
bow and arrow,5
human face,5
jacket,5
human arm,5
helmet,4
office building,4
snack,4
shelf,4
auto part,4
drink,4
hat,3
vehicle registration plate,3
wheel,3
motorcycle,3
baked goods,2
sculpture,2
bicycle,2
suit,2
tent,2
waste container,2
window,2
mobile phone,2
box,2
fashion accessory,2
cake,2
cattle,2
computer monitor,2
bicycle wheel,1
desk,1
television,1
digital clock,1
tin can,1
tire,1
tool,1
tower,1
cutting board,1
train,1
door,1
couch,1
bookcase,1
watercraft,1
cart,1
bottle,1
wine,1
tablet computer,1
swimwear,1
laptop,1
bed,1
ambulance,1
jeans,1
ipod,1
house,1
picture frame,1
helicopter,1
plastic bag,1
plate,1
rifle,1
dress,1
ring binder,1
rugby ball,1
furniture,1
footwear,1
food,1
shirt,1
flowerpot,1
sports equipment,1
paddle,1
