object,count
man,27
poster,22
book,16
building,15
clothing,13
woman,11
house,8
computer monitor,7
person,7
bookcase,5
bottle,4
shelf,4
penguin,4
boat,4
television,3
boy,3
vehicle,2
hat,2
whiteboard,2
billboard,2
auto part,2
human body,2
tablet computer,2
sports uniform,2
suit,2
toy,2
train,2
skyscraper,1
telephone,1
vehicle registration plate,1
sculpture,1
porch,1
picture frame,1
snack,1
airplane,1
office building,1
computer keyboard,1
banana,1
boot,1
box,1
car,1
cattle,1
closet,1
coffee cup,1
dress,1
necklace,1
drink,1
footwear,1
girl,1
human head,1
laptop,1
mobile phone,1
mug,1
land vehicle,1
