object,count
tin can,81
poster,68
drink,32
clothing,29
person,26
book,25
bottle,24
building,23
woman,22
man,22
convenience store,21
shelf,21
car,17
billboard,12
girl,6
computer monitor,5
sports uniform,5
plant,5
table,4
land vehicle,4
tent,4
scoreboard,4
box,4
window,4
boat,4
beer,4
suit,3
snack,3
office building,3
door,3
human arm,2
tablet computer,2
motorcycle,2
bicycle,2
jet ski,2
refrigerator,2
cart,2
laptop,2
sports equipment,2
auto part,2
truck,1
whiteboard,1
wheel,1
watch,1
sunflower,1
washing machine,1
television,1
airplane,1
pumpkin,1
printer,1
barrel,1
bicycle wheel,1
bird,1
bookcase,1
coffeemaker,1
cosmetics,1
desk,1
dessert,1
dog,1
home appliance,1
house,1
human body,1
human hair,1
human hand,1
light bulb,1
mammal,1
mobile phone,1
juice,1
