object,count
poster,85
building,37
book,32
man,25
clothing,19
person,15
billboard,13
car,13
woman,9
whiteboard,5
land vehicle,5
bus,5
mammal,5
boat,5
dairy,4
office supplies,4
boy,3
bookcase,3
human body,3
box,3
shelf,3
mobile phone,3
cream,3
truck,3
van,3
tent,2
tin can,2
scoreboard,2
plant,2
tire,2
bicycle,2
wheel,2
snack,2
personal care,2
laptop,2
computer monitor,2
furniture,2
auto part,2
medical equipment,1
table,1
balloon,1
cassette deck,1
bottle,1
umbrella,1
train,1
traffic sign,1
toy,1
convenience store,1
cosmetics,1
flower,1
sports uniform,1
suit,1
skyscraper,1
girl,1
sewing machine,1
guitar,1
remote control,1
bed,1
hair spray,1
pillow,1
picture frame,1
house,1
human face,1
aircraft,1
