object,count
poster,53
book,24
man,23
clothing,22
building,15
person,9
woman,8
billboard,4
bottle,4
shelf,3
plant,3
human body,3
house,3
land vehicle,3
bookcase,3
car,2
vehicle,2
truck,2
scoreboard,2
airplane,2
drink,2
dog,2
tire,1
bicycle,1
shirt,1
sports uniform,1
street light,1
table,1
tableware,1
fax,1
fox,1
door,1
van,1
wheel,1
window,1
wine,1
tower,1
rose,1
ring binder,1
bicycle wheel,1
computer keyboard,1
boy,1
musical instrument,1
mobile phone,1
camera,1
mammal,1
laptop,1
beer,1
human face,1
fashion accessory,1
cattle,1
guitar,1
furniture,1
cocktail,1
