object,count
poster,155
book,92
man,79
clothing,64
building,60
woman,41
person,37
billboard,19
girl,18
human body,16
car,14
traffic sign,14
mammal,13
truck,9
stairs,9
whiteboard,9
human face,8
house,6
convenience store,5
computer monitor,5
van,5
human nose,5
skyscraper,5
television,5
street light,4
land vehicle,4
human hair,4
mobile phone,4
scoreboard,4
bookcase,4
bottle,4
bus,4
snack,3
boy,3
baked goods,3
beer,3
plant,3
box,3
sunglasses,3
wheel,3
picture frame,3
shelf,3
medical equipment,3
fashion accessory,3
human head,3
motorcycle,2
office supplies,2
flower,2
drink,2
train,2
human arm,2
calculator,2
waste container,2
vehicle,2
wine,1
window,1
whale,1
stop sign,1
sports uniform,1
tire,1
tin can,1
scale,1
tablet computer,1
table,1
sock,1
airplane,1
jacket,1
saucer,1
drum,1
bathtub,1
bicycle,1
bicycle wheel,1
butterfly,1
cake,1
coffee cup,1
computer keyboard,1
computer mouse,1
cookie,1
curtain,1
dairy,1
door,1
envelope,1
remote control,1
furniture,1
glove,1
guitar,1
headphones,1
horse,1
human hand,1
auto part,1
jeans,1
laptop,1
office building,1
palm tree,1
pasta,1
zucchini,1
