object,count
poster,80
book,35
man,25
building,24
person,20
clothing,16
snack,15
woman,9
billboard,9
laptop,6
box,5
bookcase,4
plant,4
girl,3
office building,3
mobile phone,3
train,3
human body,3
airplane,3
convenience store,3
door,3
food,2
beer,2
shelf,2
land vehicle,2
house,2
window,2
bottle,2
vehicle,1
toy,1
tin can,1
tent,1
porch,1
tank,1
tablet computer,1
sports equipment,1
bicycle,1
scoreboard,1
wine,1
ring binder,1
computer mouse,1
computer monitor,1
fountain,1
musical instrument,1
desk,1
missile,1
lobster,1
lion,1
elephant,1
banana,1
human hand,1
flag,1
human arm,1
houseplant,1
guitar,1
flowerpot,1
human leg,1
