object,count
poster,99
book,96
building,51
man,49
clothing,24
person,21
woman,19
girl,10
bus,8
billboard,8
boy,8
bottle,7
car,7
whiteboard,7
house,7
convenience store,6
plant,5
shelf,5
mobile phone,5
human body,5
bookcase,4
table,3
laptop,3
office supplies,3
boat,3
mammal,3
picture frame,3
food,2
tent,2
drink,2
scoreboard,2
snack,2
sports uniform,2
human face,2
airplane,2
guitar,2
tin can,2
toy,2
computer keyboard,2
window,1
wine,1
refrigerator,1
truck,1
sculpture,1
television,1
shorts,1
box,1
bird,1
vehicle,1
van,1
suitcase,1
suit,1
computer monitor,1
piano,1
cake,1
door,1
elephant,1
fashion accessory,1
flower,1
fountain,1
furniture,1
hat,1
headphones,1
hot dog,1
cello,1
human arm,1
animal,1
human mouth,1
jeans,1
cattle,1
cat,1
mug,1
necklace,1
dinosaur,1
office building,1
